sinh(-2*x)	-2*x - 4*x**3/3
exp(7*x**2-8)/(7*x-2)*tanh(3*x+7)	-exp(-8)*tanh(7)/2 + x*(-7*exp(-8)*tanh(7)/4 - 3*exp(-8)/2 + 3*exp(-8)*tanh(7)**2/2) + x**2*(-21*exp(-8)/4 - 41*exp(-8)*tanh(7)/8 - 9*exp(-8)*tanh(7)**3/2 + 21*exp(-8)*tanh(7)**2/4) + x**3*(-195*exp(-8)/8 - 287*exp(-8)*tanh(7)/16 - 63*exp(-8)*tanh(7)**3/4 + 87*exp(-8)*tanh(7)**2/8 + 27*exp(-8)*tanh(7)**4/2) + x**4*(-1365*exp(-8)/16 - 2257*exp(-8)*tanh(7)/32 - 81*exp(-8)*tanh(7)**5/2 - 153*exp(-8)*tanh(7)**3/8 + 609*exp(-8)*tanh(7)**2/16 + 189*exp(-8)*tanh(7)**4/4)
cos(-9*x**3-8)+exp(2*x**2-9)	exp(-9) + cos(8) + 2*x**2*exp(-9) - 9*x**3*sin(8) + 2*x**4*exp(-9)
-(2*x**3+3)*exp(-5*x**2+4)	-3*exp(4) + 15*x**2*exp(4) - 2*x**3*exp(4) - 75*x**4*exp(4)/2
-exp(-5*x**2-6)	-exp(-6) + 5*x**2*exp(-6) - 25*x**4*exp(-6)/2
(5*x/5)*cosh(-5*x+5)-(3*x+2)*cosh(-3*x**2-9)/exp(6*x+7)	-2*exp(-7)*cosh(9) + x*(9*exp(-7)*cosh(9) + cosh(5)) + x**2*(-5*sinh(5) - 18*exp(-7)*cosh(9) - 6*exp(-7)*sinh(9)) + x**3*(18*exp(-7)*cosh(9) + 27*exp(-7)*sinh(9) + 25*cosh(5)/2) + x**4*(-125*sinh(5)/6 - 54*exp(-7)*sinh(9) - 9*exp(-7)*cosh(9))
-exp(-8*x**3-5)/cos(-3*x/4)	-exp(-5) - 9*x**2*exp(-5)/32 + 8*x**3*exp(-5) - 135*x**4*exp(-5)/2048
tan(4*x**2/4)/tanh(-6*x**2-7)	-x**2/tanh(7) - x**4*(-6/tanh(7) + 6*tanh(7))/tanh(7)
(5*x**3+4)*tan(6*x**2-9)+(7*x**2-5)*exp(6*x**3/4)	-4*tan(9) - 5 + x**2*(24*tan(9)**2 + 31) + x**3*(-15/2 - 5*tan(9)) + x**4*(-144*tan(9)**3 - 144*tan(9))
(5*x**2/5)*tan(-4*x**3+9)	x**2*tan(9)
(7*x+7)*tan(3*x-6)-(6*x**3-2)*ln(3*x**3+8)-(5*x-4)*exp(5*x**2+4)	4*exp(4) + 2*log(8) - 7*tan(6) + x*(-5*exp(4) + 21*tan(6)**2 - 7*tan(6) + 21) + x**2*(-63*tan(6)**3 + 21*tan(6)**2 - 63*tan(6) + 21 + 20*exp(4)) + x**3*(-25*exp(4) - 6*log(8) + 189*tan(6)**4 - 63*tan(6)**3 - 63*tan(6) + 252*tan(6)**2 + 255/4) + x**4*(-567*tan(6)**5 + 189*tan(6)**4 + 252*tan(6)**2 - 945*tan(6)**3 + 63 - 378*tan(6) + 50*exp(4))
-exp(7*x**3-8)-(4*x**2-4)*tan(9*x**2+6)-exp(-2*x**2-4)	-exp(-8) - exp(-4) + 4*tan(6) + x**2*(2*exp(-4) - 4*tan(6) + 36*tan(6)**2 + 36) - 7*x**3*exp(-8) + x**4*(324*tan(6) - 36 + 324*tan(6)**3 - 36*tan(6)**2 - 2*exp(-4))
ln(-6*x/3)-ln(-5*x/2)	-log(5) + 2*log(2)
(9*x**3+2)*tan(-2*x**3-4)-exp(-9*x**2+9)-(7*x**3-6)*sinh(-9*x**3+2)	6*sinh(2) - 2*tan(4) - exp(9) + 9*x**2*exp(9) + x**3*(-54*cosh(2) - 7*sinh(2) - 9*tan(4) - 4*tan(4)**2 - 4) - 81*x**4*exp(9)/2
-(7*x**2-3)*exp(-3*x**3/7)/(8*x-7)*cos(-4*x**3-3)	-3*cos(3)/7 - 24*x*cos(3)/49 + 151*x**2*cos(3)/343 + x**3*(1649*cos(3)/2401 + 12*sin(3)/7) + x**4*(13192*cos(3)/16807 + 96*sin(3)/49)
(4*x**2-8)*cosh(-8*x+6)	-8*cosh(6) + 64*x*sinh(6) - 252*x**2*cosh(6) + 1952*x**3*sinh(6)/3 - 3712*x**4*cosh(6)/3
-cosh(-8*x**3+5)/cosh(-3*x**3/7)/(3*x**2/7)*ln(-3*x**2+2)	-7*log(2)*cosh(5)/(3*x**2) + 7*cosh(5)/2 + 56*x*log(2)*sinh(5)/3 + 21*x**2*cosh(5)/8 - 28*x**3*sinh(5) + x**4*(-3127*log(2)*cosh(5)/42 + 21*cosh(5)/8)
-(4*x/3)*exp(5*x/4)+(2*x**3-8)*exp(-9*x**2-8)+exp(7*x**2-9)	exp(-9) - 8*exp(-8) - 4*x/3 + x**2*(-5/3 + 7*exp(-9) + 72*exp(-8)) + x**3*(-25/24 + 2*exp(-8)) + x**4*(-125/288 - 324*exp(-8) + 49*exp(-9)/2)
-tanh(-4*x**2/2)+(6*x**3-1)*sin(-2*x**3+4)/tan(-9*x**3-2)	sin(4)/tan(2) + 2*x**2 + x**3*(-6*sin(4)/tan(2) - 2*cos(4)/tan(2) + (-9/tan(2) - 9*tan(2))*sin(4)/tan(2))
-cosh(5*x**3-8)-cosh(-5*x+7)-(8*x**3-4)*exp(-5*x**3/8)	4 - cosh(7) - cosh(8) + 5*x*sinh(7) - 25*x**2*cosh(7)/2 + x**3*(-21/2 + 5*sinh(8) + 125*sinh(7)/6) - 625*x**4*cosh(7)/24
-(7*x**2/3)*cosh(2*x-5)/(5*x**2/9)*tan(-8*x**2+4)	-21*tan(4)*cosh(5)/5 + 42*x*tan(4)*sinh(5)/5 + x**2*(-42*tan(4)*cosh(5)/5 + 168*cosh(5)/5 + 168*tan(4)**2*cosh(5)/5) + x**3*(-336*tan(4)**2*sinh(5)/5 - 336*sinh(5)/5 + 28*tan(4)*sinh(5)/5) + x**4*(-1344*tan(4)**3*cosh(5)/5 - 1358*tan(4)*cosh(5)/5 + 336*cosh(5)/5 + 336*tan(4)**2*cosh(5)/5)
exp(9*x**3+4)-cosh(8*x**2+3)	exp(4) - cosh(3) - 8*x**2*sinh(3) + 9*x**3*exp(4) - 32*x**4*cosh(3)
(4*x**3)*cosh(-3*x/7)-tanh(8*x**2-7)	tanh(7) + x**2*(-8 + 8*tanh(7)**2) + 4*x**3 + x**4*(-64*tanh(7) + 64*tanh(7)**3)
-tanh(-3*x-5)-(9*x**3-7)*cos(5*x**3+6)-exp(-3*x**2+4)	7*cos(6) + tanh(5) - exp(4) + x*(3 - 3*tanh(5)**2) + x**2*(-9*tanh(5) + 9*tanh(5)**3 + 3*exp(4)) + x**3*(-27*tanh(5)**4 - 9 - 9*cos(6) - 35*sin(6) + 36*tanh(5)**2) + x**4*(-9*exp(4)/2 - 135*tanh(5)**3 + 54*tanh(5) + 81*tanh(5)**5)
tan(-6*x**2/3)+sin(8*x/4)	2*x - 2*x**2 - 4*x**3/3
tan(-3*x**3-9)	-tan(9) + x**3*(-3 - 3*tan(9)**2)
tanh(-6*x**2-4)	-tanh(4) + x**2*(-6 + 6*tanh(4)**2) + x**4*(-36*tanh(4)**3 + 36*tanh(4))
ln(-9*x**2+3)+(3*x**3/8)*cosh(-4*x-1)	log(3) - 3*x**2 + 3*x**3*cosh(1)/8 + x**4*(-9/2 + 3*sinh(1)/2)
sinh(7*x**3-3)+exp(4*x**3+3)-cosh(-6*x**3-9)	exp(3) - sinh(3) - cosh(9) + x**3*(-6*sinh(9) + 7*cosh(3) + 4*exp(3))
-(6*x**2-1)*cos(7*x/5)	1 - 349*x**2/50 + 90601*x**4/15000
(8*x-6)*sin(-4*x**3/9)/(7*x-9)*cos(-5*x**3/4)-sin(7*x**2+4)	-sin(4) - 7*x**2*cos(4) - 8*x**3/27 + x**4*(49*sin(4)/2 + 40/243)
exp(5*x**3-9)-sin(6*x**3+8)	exp(-9) - sin(8) + x**3*(5*exp(-9) - 6*cos(8))
(6*x)*ln(9*x**3+1)+(4*x**3+2)*cos(4*x**2/2)	2 + 4*x**3 + 50*x**4
-(2*x/3)*exp(-5*x**2/4)+(8*x/8)*exp(3*x**3+5)	x*(-2/3 + exp(5)) + 5*x**3/6 + 3*x**4*exp(5)
-(4*x-2)*cosh(-3*x**2+1)/cos(-2*x**2/3)	2*cosh(1) - 4*x*cosh(1) - 6*x**2*sinh(1) + 12*x**3*sinh(1) + 85*x**4*cosh(1)/9
(4*x**2/6)*sinh(3*x**2-5)	-2*x**2*sinh(5)/3 + 2*x**4*cosh(5)
-(4*x**2/7)*cos(-6*x-5)-(4*x-9)*cos(-7*x-9)	9*cos(9) + x*(-63*sin(9) - 4*cos(9)) + x**2*(-4*cos(5)/7 + 28*sin(9) - 441*cos(9)/2) + x**3*(98*cos(9) + 24*sin(5)/7 + 1029*sin(9)/2) + x**4*(7203*cos(9)/8 - 686*sin(9)/3 + 72*cos(5)/7)
(6*x**2)*exp(5*x**3-8)+tanh(-9*x**3+2)/(5*x/7)*tanh(5*x/9)	7*tanh(2)/9 + x**2*(-175*tanh(2)/2187 + 6*exp(-8)) + x**3*(-7 + 7*tanh(2)**2) + 1750*x**4*tanh(2)/177147
tan(3*x/3)/sinh(-7*x**3-4)+(5*x**2/9)*tan(-2*x**2-4)	-x/sinh(4) - 5*x**2*tan(4)/9 - x**3/(3*sinh(4)) + x**4*(-10*tan(4)**2/9 - 10/9 + 7*cosh(4)/sinh(4)**2)
exp(-2*x+8)	exp(8) - 2*x*exp(8) + 2*x**2*exp(8) - 4*x**3*exp(8)/3 + 2*x**4*exp(8)/3
exp(9*x**2-5)-sinh(5*x**2-9)	sinh(9) + exp(-5) + x**2*(-5*cosh(9) + 9*exp(-5)) + x**4*(81*exp(-5)/2 + 25*sinh(9)/2)
(5*x**2-1)*sinh(-5*x**2+5)/cos(-5*x**2+1)-exp(6*x**2)	-1 - sinh(5)/cos(1) + x**2*(-6 + 5*sinh(5)/cos(1) + 5*cosh(5)/cos(1) + 5*sin(1)*sinh(5)/cos(1)**2) + x**4*(-(25/2 + 25*sin(1)**2/cos(1)**2)*sinh(5)/cos(1) - 25*sin(1)*cosh(5)/cos(1)**2 - 25*sin(1)*sinh(5)/cos(1)**2 - 25*cosh(5)/cos(1) - 25*sinh(5)/(2*cos(1)) - 18)
-sinh(-9*x**3-7)	sinh(7) + 9*x**3*cosh(7)
(9*x**3/9)*cos(6*x**3-1)+sinh(-4*x**2/6)+tan(6*x/3)	2*x - 2*x**2/3 + x**3*(cos(1) + 8/3)
exp(-2*x**3-2)	exp(-2) - 2*x**3*exp(-2)
(6*x**3-5)*ln(7*x**3/6)-(9*x**2+5)*exp(-4*x**2/8)	5*log(6) - 5 - 5*log(7) - 15*log(x) - 13*x**2/2 + x**3*(18*log(x) - 6*log(6) + 6*log(7)) + 31*x**4/8
-(3*x**3-5)*ln(-9*x**3+3)-(7*x-6)*tanh(-5*x+7)	6*tanh(7) + 5*log(3) + x*(-30 - 7*tanh(7) + 30*tanh(7)**2) + x**2*(-150*tanh(7) - 35*tanh(7)**2 + 35 + 150*tanh(7)**3) + x**3*(-1000*tanh(7)**2 - 175*tanh(7)**3 - 3*log(3) + 175*tanh(7) + 235 + 750*tanh(7)**4) + x**4*(-6250*tanh(7)**3 - 875*tanh(7)**4 - 875/3 + 3500*tanh(7)**2/3 + 2500*tanh(7) + 3750*tanh(7)**5)
cos(-2*x**3+1)	cos(1) + 2*x**3*sin(1)
-(5*x/8)*sin(-5*x**3/9)+tan(9*x**2)	9*x**2 + 25*x**4/72
ln(-5*x**2+5)/(8*x**2+9)*cos(4*x**3/2)	log(5)/9 + x**2*(-8*log(5)/81 - 1/9) + x**4*(7/162 + 64*log(5)/729)
-cosh(4*x**3/9)	-1
-(4*x**2+9)*ln(3*x**2+5)-sin(-7*x/5)-exp(8*x+8)	-9*log(5) - exp(8) + x*(7/5 - 8*exp(8)) + x**2*(-32*exp(8) - 4*log(5) - 27/5) + x**3*(-256*exp(8)/3 - 343/750) + x**4*(-512*exp(8)/3 - 39/50)
(3*x-9)*tanh(-7*x**3+4)	-9*tanh(4) + 3*x*tanh(4) + x**3*(63 - 63*tanh(4)**2) + x**4*(-21 + 21*tanh(4)**2)
(8*x**2+9)*tan(3*x/9)+cosh(-8*x**2+1)	cosh(1) + 3*x - 8*x**2*sinh(1) + 25*x**3/9 + 32*x**4*cosh(1)
(9*x/4)*sinh(-9*x)	-81*x**2/4 - 2187*x**4/8
(7*x**2/4)*exp(-2*x**2+9)	7*x**2*exp(9)/4 - 7*x**4*exp(9)/2
(2*x/5)*cos(6*x**3/6)+(4*x**3-1)*cos(5*x**3-8)/(6*x/9)*cosh(-5*x/5)	-3*cos(8)/(2*x) + x*(2/5 - 3*cos(8)/4) + x**2*(-15*sin(8)/2 + 6*cos(8)) - x**3*cos(8)/16 + x**4*(-15*sin(8)/4 + 3*cos(8))
(5*x**2+1)*cos(-2*x**2/6)	1 + 5*x**2 - x**4/18
(7*x**2/4)*tan(7*x**3-2)-(5*x-3)*exp(-2*x**2-6)	3*exp(-6) - 5*x*exp(-6) + x**2*(-6*exp(-6) - 7*tan(2)/4) + 10*x**3*exp(-6) + 6*x**4*exp(-6)
-exp(3*x/3)-sinh(-4*x**2+8)+cos(-7*x**2)	-sinh(8) - x + x**2*(-1/2 + 4*cosh(8)) - x**3/6 + x**4*(-8*sinh(8) - 589/24)
tan(2*x-7)-sin(8*x**2-1)	sin(1) - tan(7) + x*(2*tan(7)**2 + 2) + x**2*(-8*cos(1) - 4*tan(7) - 4*tan(7)**3) + x**3*(8/3 + 8*tan(7)**4 + 32*tan(7)**2/3) + x**4*(-32*sin(1) - 80*tan(7)**3/3 - 32*tan(7)/3 - 16*tan(7)**5)
cosh(-9*x+7)	cosh(7) - 9*x*sinh(7) + 81*x**2*cosh(7)/2 - 243*x**3*sinh(7)/2 + 2187*x**4*cosh(7)/8
sin(7*x**3/5)+sin(2*x**3/2)+cosh(-7*x-2)	cosh(2) + 7*x*sinh(2) + 49*x**2*cosh(2)/2 + x**3*(12/5 + 343*sinh(2)/6) + 2401*x**4*cosh(2)/24
tan(-2*x/7)/exp(-9*x/4)-(7*x/7)*sinh(4*x**3+3)	x*(-sinh(3) - 2/7) - 9*x**2/14 - 12035*x**3/16464 + x**4*(-4*cosh(3) - 12291/21952)
-(4*x+2)*tan(4*x**2-3)	2*tan(3) + 4*x*tan(3) + x**2*(-8 - 8*tan(3)**2) + x**3*(-16 - 16*tan(3)**2) + x**4*(32*tan(3) + 32*tan(3)**3)
-tanh(-7*x**2-2)	tanh(2) + x**2*(7 - 7*tanh(2)**2) + x**4*(-49*tanh(2) + 49*tanh(2)**3)
exp(8*x**3-2)+(2*x**2+1)*exp(9*x+4)	exp(4) + exp(-2) + 9*x*exp(4) + 85*x**2*exp(4)/2 + x**3*(8*exp(-2) + 279*exp(4)/2) + 2835*x**4*exp(4)/8
-tan(-7*x**3+5)-(6*x**3/6)*exp(-5*x**3-1)	-tan(5) + x**3*(-exp(-1) + 7 + 7*tan(5)**2)
(4*x**3-9)*cos(3*x-5)+exp(2*x**2+2)+tanh(-5*x**3-3)	exp(2) - tanh(3) - 9*cos(5) - 27*x*sin(5) + x**2*(81*cos(5)/2 + 2*exp(2)) + x**3*(81*sin(5)/2 - 5 + 4*cos(5) + 5*tanh(3)**2) + x**4*(12*sin(5) - 243*cos(5)/8 + 2*exp(2))
-(3*x**2-6)*ln(-6*x**3+7)+(5*x**2/5)*exp(-6*x**3-4)+(7*x**2/8)*sinh(-8*x**2/5)	6*log(7) + x**2*(-3*log(7) + exp(-4)) - 36*x**3/7 - 7*x**4/5
-(8*x/7)*sin(-8*x+2)/(4*x/9)*sin(3*x**3/4)+cosh(4*x+2)	cosh(2) + 4*x*sinh(2) + 8*x**2*cosh(2) + x**3*(-27*sin(2)/14 + 32*sinh(2)/3) + x**4*(108*cos(2)/7 + 32*cosh(2)/3)
cosh(2*x**3-4)+cos(-2*x**2+6)	cosh(4) + cos(6) + 2*x**2*sin(6) - 2*x**3*sinh(4) - 2*x**4*cos(6)
(8*x**3-5)*tan(2*x**3+2)+(4*x-9)*exp(-4*x**2-2)	-5*tan(2) - 9*exp(-2) + 4*x*exp(-2) + 36*x**2*exp(-2) + x**3*(-10*tan(2)**2 + 8*tan(2) - 10 - 16*exp(-2)) - 72*x**4*exp(-2)
exp(-8*x-5)+exp(6*x**2/5)/(8*x**2/2)*sinh(-8*x-9)	-sinh(9)/(4*x**2) - 2*cosh(9)/x + exp(-5) - 83*sinh(9)/10 + x*(-356*cosh(9)/15 - 8*exp(-5)) + x**2*(-7867*sinh(9)/150 + 32*exp(-5)) + x**3*(-7148*cosh(9)/75 - 256*exp(-5)/3) + x**4*(-166561*sinh(9)/1125 + 512*exp(-5)/3)
-(2*x**2/7)*exp(-2*x**3/9)-cos(6*x**2)/(3*x**3+2)*cos(4*x+8)	-cos(8)/2 + 2*x*sin(8) + x**2*(4*cos(8) - 2/7) + x**3*(-16*sin(8)/3 + 3*cos(8)/4) + x**4*(-3*sin(8) + 11*cos(8)/3)
exp(4*x**2+1)	E + 4*E*x**2 + 8*E*x**4
-exp(-4*x**2-9)	-exp(-9) + 4*x**2*exp(-9) - 8*x**4*exp(-9)
tan(4*x**3+5)	tan(5) + x**3*(4 + 4*tan(5)**2)
sinh(7*x**3)/(6*x/3)*tanh(-6*x**2-3)	-7*x**2*tanh(3)/2 + x**4*(-21 + 21*tanh(3)**2)
-exp(8*x+5)	-exp(5) - 8*x*exp(5) - 32*x**2*exp(5) - 256*x**3*exp(5)/3 - 512*x**4*exp(5)/3
(9*x**3+2)*tanh(-5*x/3)/(5*x**2/8)*tanh(8*x**2-1)-(9*x**2-6)*tanh(2*x**3+1)	16*tanh(1)/(3*x) + 6*tanh(1) + x*(-128/3 - 400*tanh(1)/81 + 128*tanh(1)**2/3) + 15*x**2*tanh(1) + x**3*(-244832*tanh(1)/729 - 4172*tanh(1)**2/81 + 4172/81 + 1024*tanh(1)**3/3) + x**4*(-192 - 200*tanh(1)/9 + 192*tanh(1)**2)
exp(3*x-7)-exp(-9*x**3-3)-(2*x/4)*exp(8*x**3+9)	exp(-7) - exp(-3) + x*(-exp(9)/2 + 3*exp(-7)) + 9*x**2*exp(-7)/2 + x**3*(9*exp(-7)/2 + 9*exp(-3)) + x**4*(-4*exp(9) + 27*exp(-7)/8)
cos(8*x**2-6)+sinh(8*x**3+8)	sinh(8) + cos(6) + 8*x**2*sin(6) + 8*x**3*cosh(8) - 32*x**4*cos(6)
-(5*x**3-9)*sinh(4*x-8)	-9*sinh(8) + 36*x*cosh(8) - 72*x**2*sinh(8) + x**3*(5*sinh(8) + 96*cosh(8)) + x**4*(-96*sinh(8) - 20*cosh(8))
ln(-8*x**3+6)	log(6) - 4*x**3/3
(3*x-1)*sin(6*x+4)+exp(-5*x+1)+tan(-2*x**3-9)	E - sin(4) - tan(9) + x*(-5*E + 3*sin(4) - 6*cos(4)) + x**2*(18*sin(4) + 18*cos(4) + 25*E/2) + x**3*(-125*E/6 + 36*cos(4) - 2 - 2*tan(9)**2 - 54*sin(4)) + x**4*(-54*sin(4) - 108*cos(4) + 625*E/24)
-(6*x+3)*exp(9*x**2)/(7*x-2)*exp(-5*x**2-4)	3*exp(-4)/2 + 33*x*exp(-4)/4 + 279*x**2*exp(-4)/8 + 2145*x**3*exp(-4)/16 + 15399*x**4*exp(-4)/32
